skill_1,skill_2,label
ada,ada 95,1
algol,algol 60,1
bash,bash scripting,1
c,c programming,1
c++,c++,1
c++,c++11,1
c#,c sharp,1
c#,c#.net,1
cobol,cobol 85,1
d,d language,1
dart,dart,1
elixir,elixir,1
elixir,elixir programming,1
erlang,erlang,1
fortran,fortran 77,1
go,golang,1
groovy,groovy,1
haskell,haskell,1
haskell,haskell language,1
java,java,1
java,java se,1
javascript,js,1
javascript,java script,1
kotlin,kotlin,1
kotlin,kotlin android,1
lisp,lisp programming,1
lua,lua,1
lua,lua scripting,1
matlab,matlab r2021b,1
objective-c,obj-c,1
objective-c,objective c,1
pascal,free pascal,1
perl,perl 5,1
php,php,1
php,php 7,1
python,python,1
python,python 3,1
python,python programming,1
r,r,1
r,r programming,1
ruby,ruby,1
ruby,ruby on rails,1
rust,rust,1
rust,rustlang,1
scala,scala,1
scala,scala programming,1
shell,shell scripting,1
smalltalk,smalltalk-80,1
swift,swift,1
swift,swift for ios,1
typescript,ts,1
typescript,type script,1
visual basic,vb,1
ada,algol,0
ada,bash,0
ada,c,0
ada,c++,0
ada,c++,0
ada,c#,0
ada,c#,0
ada,cobol,0
ada,d,0
ada,dart,0
ada,elixir,0
ada,elixir,0
ada,erlang,0
ada,fortran,0
ada,go,0
ada,groovy,0
ada,haskell,0
ada,haskell,0
ada,java,0
ada,java,0
ada,javascript,0
ada,javascript,0
ada,kotlin,0
ada,kotlin,0
ada,lisp,0
ada,lua,0
ada,lua,0
ada,matlab,0
ada,objective-c,0
ada,objective-c,0
ada,pascal,0
ada,perl,0
ada,php,0
ada,php,0
ada,python,0
ada,python,0
ada,python,0
ada,r,0
ada,r,0
ada,ruby,0
ada,ruby,0
ada,rust,0
ada,rust,0
ada,scala,0
ada,scala,0
ada,shell,0
ada,smalltalk,0
ada,swift,0
ada,swift,0
ada,typescript,0
ada,typescript,0
ada,visual basic,0
algol,ada,0
algol,bash,0
algol,c,0
algol,c++,0
algol,c++,0
algol,c#,0
algol,c#,0
algol,cobol,0
algol,d,0
algol,dart,0
algol,elixir,0
algol,elixir,0
algol,erlang,0
algol,fortran,0
algol,go,0
algol,groovy,0
algol,haskell,0
algol,haskell,0
algol,java,0
algol,java,0
algol,javascript,0
algol,javascript,0
algol,kotlin,0
algol,kotlin,0
